name,bus,Pmax,zone,PF,type,x,y,vn_kv
load_0_0,0,11.9,R2,0.0,residential,505,-95,138.0
load_0_1,0,0.0,,,residential,505,-95,138.0
load_1_2,1,0.0,,,residential,548,-155,138.0
load_1_3,1,28.1,R2,0.0,residential,548,-155,138.0
load_2_4,2,15.1,R2,0.0,residential,469,-220,138.0
load_3_5,3,15.2,R2,0.0,residential,570,-214,138.0
load_5_6,5,0.0,,,residential,614,-245,345.0
load_6_7,6,13.1,R2,0.0,residential,580,-83,138.0
load_7_8,7,9.4,R2,0.0,residential,612,-46,138.0
load_8_9,8,17.8,R2,0.0,residential,662,-46,138.0
load_9_10,9,18.0,R2,0.0,residential,700,-46,138.0
load_10_11,10,8.2,R2,0.0,residential,657,-162,138.0
load_11_12,11,7.3,R2,0.0,residential,675,-128,138.0
load_12_13,12,25.0,R2,0.0,residential,684,-204,138.0
load_13_14,13,13.0,R2,0.0,residential,668,-233,138.0
load_14_15,14,15.6,R2,0.0,residential,702,-238,138.0
load_15_16,15,9.5,R2,0.0,residential,732,-193,138.0
load_16_17,16,39.7,R2,0.0,residential,772,-249,138.0
load_17_18,17,7.9,R2,0.0,residential,828,-142,138.0
load_18_19,18,8.0,R2,0.0,residential,850,-130,138.0
load_19_20,19,8.0,R2,0.0,residential,745,-91,138.0
load_20_21,20,9.9,R2,0.0,residential,749,-47,138.0
load_21_22,21,55.3,R2,0.1,residential,790,-48,138.0
load_22_23,22,28.1,R2,0.0,residential,899,-46,138.0
load_23_24,23,42.8,R2,0.0,residential,844,-45,138.0
load_24_25,24,5.7,R2,0.0,residential,828,-103,138.0
load_25_26,25,5.9,R2,0.0,residential,849,-103,138.0
load_26_27,26,118.9,R2,0.2,residential,950,-69,138.0
load_27_28,27,35.6,R2,0.0,residential,950,-164,138.0
load_29_29,29,35.3,R2,0.0,residential,913,-311,138.0
load_32_30,32,0.0,,,residential,863,-364,345.0
load_33_31,33,18.5,R2,0.0,residential,845,-311,138.0
load_34_32,34,12.6,R2,0.0,residential,861,-287,138.0
load_35_33,35,0.0,,,residential,727,-339,138.0
load_35_34,35,0.0,,,residential,727,-339,138.0
load_35_35,35,0.0,,,residential,727,-339,138.0
load_35_36,35,0.0,,,residential,727,-339,138.0
